City,Country,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Jizan,SA,75,1576103436,83,16.89,42.56,82.4,4.7
Thompson,CA,20,1576103413,68,55.74,-97.86,-18.4,8.05
Hermanus,ZA,9,1576103223,85,-34.42,19.24,69.01,10.0
Barrow,AR,65,1576103441,74,-38.31,-60.23,63.84,10.31
Butaritari,KI,0,1576103310,73,3.07,172.79,84.81,14.61
Bambous Virieux,MU,40,1576103270,88,-20.34,57.76,80.01,6.93
Margate,AU,75,1576103446,47,-43.03,147.26,59.0,16.11
Albany,US,40,1576103185,73,42.65,-73.75,32.0,5.82
Mahebourg,MU,40,1576103309,88,-20.41,57.7,80.01,6.93
Guangzhou,CN,0,1576103450,66,23.13,113.26,59.0,2.24
Mataura,NZ,100,1576103162,73,-46.19,168.86,61.54,3.4
Nishihara,JP,1,1576103454,93,35.74,139.53,52.0,4.41
Makurdi,NG,39,1576103455,22,7.73,8.54,78.26,1.05
Fez,MA,22,1576103457,93,34.03,-5.02,46.4,9.17
Katete,UG,42,1576103459,96,-0.78,29.75,56.03,2.8
Okha,RU,100,1576103460,94,53.59,142.95,10.35,10.83
Severo-Kurilsk,RU,86,1576103350,87,50.68,156.12,23.11,9.04
Bredasdorp,ZA,82,1576103170,72,-34.53,20.04,68.0,11.41
Carballo,ES,40,1576103467,87,43.21,-8.69,55.0,9.17
Punta Arenas,CL,82,1576103322,50,-53.16,-70.91,53.6,25.28
Adrar,DZ,0,1576103470,29,27.87,-0.29,51.8,8.05
Carnarvon,ZA,1,1576103472,48,-30.97,22.13,64.26,11.41
Bluff,AU,12,1576103233,75,-23.58,149.07,74.55,12.62
Ushuaia,AR,75,1576103102,53,-54.81,-68.31,50.0,18.34
Nikolskoye,RU,20,1576103187,79,59.7,30.79,28.4,8.95
Ribeira Grande,PT,75,1576103478,62,38.52,-28.7,57.2,9.17
Rikitea,PF,97,1576103221,81,-23.12,-134.97,73.45,26.15
Miri,NG,15,1576103481,15,10.31,9.75,65.59,5.21
Port Alfred,ZA,10,1576103483,97,-33.59,26.89,61.0,5.01
Buala,SB,86,1576103485,66,-8.15,159.59,85.66,3.02
Longyearbyen,NO,79,1576103487,60,78.22,15.63,8.6,33.33
Lebu,ET,14,1576103358,95,8.96,38.73,52.41,2.13
Sept-Iles,CA,20,1576103491,50,50.2,-66.38,6.01,3.36
Saint George,GR,75,1576103494,93,39.45,22.34,48.2,4.7
Norman Wells,CA,20,1576103191,75,65.28,-126.83,-14.8,4.7
Chokurdakh,RU,100,1576103497,96,70.62,147.9,-21.82,3.91
Nanortalik,GL,100,1576103267,60,60.14,-45.24,33.33,27.65
Tasiilaq,GL,100,1576103239,85,65.61,-37.64,24.8,28.86
Castro,CL,20,1576103504,58,-42.48,-73.76,53.6,14.99
Kruisfontein,ZA,42,1576103505,96,-34.0,24.73,59.7,6.67
Rabo de Peixe,PT,75,1576103507,62,37.8,-25.58,55.4,4.7
Ambon,FR,14,1576103509,93,47.55,-2.56,46.99,9.17
Buraydah,SA,4,1576103510,93,26.33,43.97,53.6,3.36
Vila Velha,BR,86,1576103512,69,-3.71,-38.6,82.4,5.82
Medea,DZ,75,1576103513,77,36.27,2.77,60.8,16.11
Lima,PE,90,1576103245,78,-12.06,-77.04,71.6,6.93
Yellowknife,CA,20,1576103323,74,62.45,-114.38,-23.01,3.36
Mabini,PH,75,1576103518,83,7.31,125.85,73.99,3.36
Kapaa,US,1,1576103159,69,22.08,-159.32,84.2,8.05
Puerto Ayora,EC,20,1576103264,54,-0.74,-90.35,82.4,16.11
Busselton,AU,11,1576103525,36,-33.64,115.35,70.0,12.57
Avarua,CK,94,1576103152,88,-21.21,-159.78,80.6,16.11
Broken Hill,AU,90,1576103528,55,-31.97,141.45,62.6,19.46
Bethel,US,90,1576103278,86,60.79,-161.76,30.2,16.11
Burnie,AU,87,1576103533,54,-41.05,145.91,64.0,7.0
Kirgiz-Miyaki,RU,100,1576103536,97,53.63,54.8,28.38,12.97
Iquique,CL,75,1576103517,60,-20.22,-70.14,69.8,18.34
Comodoro Rivadavia,AR,40,1576103321,38,-45.87,-67.48,59.0,25.28
Khatanga,RU,100,1576103236,87,71.98,102.47,-7.19,9.37
Arraial do Cabo,BR,75,1576103156,94,-22.97,-42.02,77.0,4.7
Salalah,OM,6,1576103549,83,17.01,54.1,75.2,2.24
Nushki,PK,79,1576103495,76,29.55,66.02,50.43,2.91
Souillac,FR,46,1576103306,87,45.6,-0.6,42.8,6.93
Vestmanna,FO,78,1576103554,93,62.16,-7.17,35.6,13.87
Tiksi,RU,67,1576103360,88,71.64,128.87,-25.92,5.41
Virginia Beach,US,75,1576102895,60,36.85,-75.98,43.0,6.93
Saint-Pierre,FR,100,1576103559,100,48.95,4.24,41.0,12.75
Bouca,CF,75,1576103561,30,6.51,18.28,73.27,0.16
Kavieng,PG,78,1576103195,71,-2.57,150.8,84.58,7.99
Atuona,PF,49,1576103230,74,-9.8,-139.03,79.27,13.78
Kamaishi,JP,12,1576103565,71,39.28,141.86,48.85,19.84
Hovd,NO,95,1576103569,56,63.83,10.7,44.01,33.33
Cape Town,ZA,60,1576103467,82,-33.93,18.42,70.0,8.05
Pevek,RU,100,1576103289,94,69.7,170.27,12.54,14.05
Noumea,NC,90,1576103380,44,-22.28,166.46,78.8,4.7
Hithadhoo,MV,100,1576103103,75,-0.6,73.08,81.46,3.94
The Valley,AI,40,1576103559,73,18.22,-63.06,80.6,8.05
Bend,US,1,1576103290,86,44.06,-121.32,43.0,8.05
Vaini,IN,0,1576103188,80,15.34,74.49,63.52,2.42
Zhigansk,RU,100,1576103254,95,66.77,123.37,-29.2,8.95
Port Elizabeth,US,1,1576103151,59,39.31,-74.98,37.99,6.93
Inta,RU,100,1576103587,96,66.04,60.13,17.4,6.29
Tobol,SE,99,1576103589,93,59.83,12.54,39.2,9.17
Hobart,AU,75,1576102917,47,-42.88,147.33,59.0,18.34
Savonlinna,FI,90,1576103592,90,61.87,28.88,32.0,16.11
Lasa,CY,75,1576103594,77,34.92,32.53,62.6,8.05
Pavilosta,LV,100,1576103596,86,56.89,21.19,32.0,10.29
Alofi,NU,75,1576103597,83,-19.06,-169.92,82.4,4.7
Polovragi,RO,95,1576103600,89,45.17,23.8,40.14,9.89
Dunedin,NZ,100,1576103409,85,-45.87,170.5,57.99,20.0
Jiwani,PK,0,1576103604,70,25.05,61.74,75.72,13.94
Fortuna,US,75,1576103605,76,40.6,-124.16,59.0,21.92
Jamestown,AU,100,1576103341,61,-33.21,138.6,56.3,9.53
Panino,RU,90,1576103608,100,51.65,40.13,35.6,2.24
Tuktoyaktuk,CA,5,1576103610,69,69.44,-133.03,-13.0,17.22
Sleaford,GB,1,1576103612,100,53.0,-0.41,37.0,12.75
Naze,NG,40,1576103613,83,5.43,7.07,77.0,3.91
Chuy,UY,8,1576103378,35,-33.69,-53.46,86.65,7.36
Chodavaram,IN,16,1576103617,94,17.44,81.78,63.72,2.64
Orange Cove,US,78,1576103618,100,36.62,-119.31,60.8,0.43
Yarmouth,CA,90,1576103613,92,43.84,-66.12,28.0,4.7
Victoria,BN,75,1576103249,94,5.28,115.24,77.0,1.12
Vardo,US,1,1576103251,34,39.62,-77.74,37.0,14.99
Hualmay,PE,94,1576103625,84,-11.1,-77.61,65.05,5.59
Hervey Bay,AU,75,1576103626,61,-25.3,152.85,82.99,13.87
Talnakh,RU,75,1576103628,85,69.49,88.39,21.2,13.42
Hanna,CA,100,1576103629,83,51.64,-111.93,3.99,8.01
New Norfolk,AU,75,1576103291,47,-42.78,147.06,59.0,16.11
Hobyo,SO,45,1576103182,78,5.35,48.53,78.33,7.76
Tabuk,PH,95,1576103634,83,17.41,121.44,72.54,7.83
Port Lincoln,AU,30,1576103636,69,-34.72,135.86,63.28,14.2
Dickinson,US,90,1576103464,85,46.88,-102.79,19.99,11.41
Los Llanos de Aridane,ES,40,1576103228,63,28.66,-17.92,66.2,12.75
Pemberton,AU,9,1576103641,71,-34.44,116.03,64.0,5.99
Orotukan,RU,100,1576103642,98,62.26,151.67,-12.87,2.68
Sitka,US,45,1576103644,50,37.17,-99.65,53.01,18.01
Ilhabela,BR,100,1576103646,88,-23.78,-45.36,73.96,6.08
Muskogee,US,1,1576103647,32,35.75,-95.37,54.0,8.05
Mahajanga,MG,40,1576103649,94,-15.72,46.32,77.0,3.36
Maldonado,UY,75,1576103651,48,-34.91,-54.96,86.0,11.41
Parintins,BR,78,1576103654,63,-2.63,-56.73,80.78,1.9
Matagami,NG,28,1576103655,45,9.67,8.4,66.2,5.23
Bilibino,RU,100,1576103657,99,68.06,166.44,-9.96,4.0
Paralimni,GR,100,1576103659,80,40.99,23.67,52.0,5.01
Broome,GB,82,1576103660,93,52.47,1.45,37.99,9.17
Port Blair,IN,26,1576103664,74,11.67,92.75,79.59,14.05
Saint Anthony,US,90,1576103349,80,43.97,-111.68,32.0,10.29
Hilo,US,90,1576103204,88,19.71,-155.08,79.0,4.7
Askino,RU,100,1576103668,87,56.09,56.58,23.85,15.32
Montepuez,MZ,46,1576103672,89,-13.13,39.0,73.36,4.72
Tessalit,ML,98,1576103673,23,20.2,1.01,66.43,13.35
Hay River,CA,40,1576103675,75,60.82,-115.79,-16.6,7.4
Sydney,AU,75,1576103641,77,-33.85,151.22,71.01,12.75
Cabo San Lucas,MX,20,1576103138,64,22.89,-109.91,79.0,11.41
Kodiak,US,1,1576103294,44,39.95,-94.76,43.0,8.05
Kilembe,UG,2,1576103681,95,0.2,30.01,62.31,1.25
Itoman,JP,20,1576103683,68,26.12,127.67,66.2,17.22
Otjimbingwe,NA,30,1576103684,40,-22.35,16.13,67.12,2.91
Usolye,RU,100,1576103688,80,59.42,56.68,19.99,3.0
Cayhagan,PH,74,1576103691,76,9.67,122.43,78.82,7.47
Ponta do Sol,BR,100,1576103693,97,-20.63,-46.0,67.84,1.95
Ancud,CL,20,1576103694,58,-41.87,-73.83,53.6,14.99
Georgetown,GY,75,1576103144,100,6.8,-58.16,77.0,4.7
Lavrentiya,RU,100,1576103697,95,65.58,-170.99,29.43,11.52
Gillette,US,90,1576103699,55,44.29,-105.5,39.2,5.39
Aripuana,BR,95,1576103701,90,-9.17,-60.63,75.52,0.72
Yulara,AU,73,1576103180,20,-25.24,130.99,82.4,18.34
Guerrero Negro,MX,76,1576103704,52,27.97,-114.04,66.52,14.74
Sao Caetano de Odivelas,BR,80,1576103705,87,-0.75,-48.02,76.59,3.94
Upernavik,GL,0,1576103570,57,72.79,-56.15,0.7,4.76
Pyaozerskiy,RU,79,1576103710,85,65.83,31.17,35.49,15.86
Barcelos,BR,100,1576103712,92,-0.97,-62.93,76.23,1.1
Tornio,FI,90,1576103714,96,61.12,27.27,33.8,12.75
Homestead,US,1,1576103715,83,25.47,-80.48,79.0,5.82
Eyl,SO,0,1576103717,84,7.98,49.82,79.02,11.95
Pontian Kecil,MY,75,1576103720,100,1.48,103.39,77.0,1.12
Atar,MR,100,1576103722,16,20.52,-13.05,66.65,12.66
Cidreira,BR,0,1576103723,90,-30.17,-50.22,73.54,24.16
Port Hueneme,US,1,1576103725,52,34.15,-119.2,69.8,5.82
Sambava,MG,19,1576103728,93,-14.27,50.17,72.43,1.72
Serenje,ZM,91,1576103730,94,-13.23,30.22,65.14,2.51
Berlevag,NO,75,1576103177,85,70.86,29.09,24.8,31.09
Kavaratti,IN,33,1576103733,62,10.57,72.64,82.15,1.39
Kisanga,CD,100,1576103735,98,-11.72,27.4,62.83,5.26
Kieta,PG,73,1576103737,73,-6.22,155.63,83.12,3.53
Bilma,NE,100,1576103738,35,18.69,12.92,62.31,19.89
Tautira,PF,40,1576103740,70,-17.73,-149.15,84.2,8.05
Constitucion,MX,75,1576103741,41,23.99,-104.67,66.2,2.24
Aksu,KZ,90,1576103743,92,52.04,76.93,8.6,7.52
San Juan,AR,0,1576103745,22,-31.54,-68.53,89.35,19.71
Bambanglipuro,ID,100,1576103746,79,-7.95,110.28,80.06,3.04
Jumla,NP,100,1576103216,74,29.28,82.18,34.83,2.68
Maragheh,IR,20,1576103751,86,37.39,46.24,30.2,4.7
Nouakchott,MR,100,1576103753,17,18.08,-15.98,71.6,10.29
Qaanaaq,GL,0,1576103248,53,77.48,-69.36,-8.03,8.63
Klaksvik,FO,96,1576103756,93,62.23,-6.59,35.6,13.87
Hambantota,LK,40,1576103757,100,6.12,81.12,73.4,4.7
Juybar,IR,75,1576103759,87,36.64,52.91,48.2,4.7
Agadez,NE,1,1576103762,25,16.97,7.99,71.6,11.41
Lompoc,US,1,1576103741,52,34.64,-120.46,68.0,9.17
Yar-Sale,RU,100,1576103767,92,66.83,70.83,11.21,7.94
General Artigas,PY,20,1576103769,52,-26.93,-56.22,91.4,3.36
Saskylakh,RU,100,1576103338,96,71.97,114.09,-18.85,7.67
Teya,MX,75,1576103772,55,21.05,-89.07,89.6,11.41
East London,ZA,60,1576103357,86,-33.02,27.91,67.46,12.37
Cayenne,GF,100,1576103775,74,4.94,-52.33,82.4,3.36
Lumut,BN,75,1576103777,94,4.66,114.45,77.0,3.36
Rorvik,NO,100,1576103778,60,64.86,11.24,42.01,8.99
Usinsk,RU,94,1576103780,94,66.0,57.56,21.58,13.89
Galle,GN,99,1576103782,68,10.08,-12.83,69.22,1.72
Santa Rosa,AR,0,1576103785,14,-36.62,-64.29,80.15,18.37
Cherskiy,RU,100,1576103330,96,68.75,161.3,-2.38,18.54
San Patricio,PY,0,1576103788,43,-26.98,-56.83,81.43,3.76
Motril,ES,20,1576103791,87,36.75,-3.52,60.01,6.93
Biasca,CH,40,1576103793,69,46.36,8.97,37.99,1.12
Fukue,JP,40,1576103794,71,35.03,136.69,57.2,25.28
Camacha,PT,40,1576103796,77,33.08,-16.33,62.6,18.34
Boyolangu,ID,60,1576103797,81,-8.09,111.9,79.7,2.64
Havre-Saint-Pierre,CA,1,1576103799,56,50.23,-63.6,12.2,9.17
Toba,JP,40,1576103802,71,34.47,136.83,57.2,25.28
Maniitsoq,GL,100,1576103804,43,65.42,-52.9,18.45,2.24
Saint-Joseph,FR,82,1576103806,75,43.56,6.97,50.0,3.36
Ambovombe,MG,100,1576103807,86,-25.18,46.09,75.36,4.16
Hofn,IS,36,1576103809,60,64.25,-15.21,34.86,32.44
Ponta Delgada,PT,75,1576103811,62,37.73,-25.67,55.4,4.7
La Ronge,CA,5,1576103812,69,55.1,-105.3,-13.0,3.36
Vanino,RU,94,1576103814,95,53.93,40.55,31.53,3.62
Sao Joao da Barra,BR,100,1576103325,78,-21.64,-41.05,78.8,9.17
Roebourne,AU,0,1576103817,21,-20.77,117.15,95.47,18.32
Xam Nua,LA,0,1576103819,81,20.42,104.04,43.09,1.21
Bismarck,US,90,1576103820,65,46.81,-100.78,6.8,11.41
Mana,NG,0,1576103822,13,13.03,5.27,67.84,8.03
Sao Luiz Gonzaga,BR,2,1576103824,36,-28.41,-54.96,79.2,8.86
Ishinomaki,JP,20,1576103825,61,38.42,141.3,50.0,12.75
Tandil,AR,98,1576103827,65,-37.33,-59.14,75.0,4.0
Isangel,VU,40,1576103637,58,-19.55,169.27,82.4,9.17
Aguimes,ES,75,1576103831,63,27.91,-15.45,66.2,19.46
Palmas de Monte Alto,BR,21,1576103832,62,-14.26,-43.16,72.75,5.08
Saint-Denis,FR,75,1576103834,87,48.94,2.36,43.0,8.05
Samarai,PG,99,1576103258,85,-10.62,150.67,77.88,7.0
Meulaboh,ID,18,1576103837,77,4.14,96.13,80.35,6.02
Mar del Plata,AR,54,1576103840,63,-46.43,-67.52,50.41,29.08
Saint-Philippe,CA,90,1576103575,92,45.36,-73.48,30.0,8.05
Katsuura,JP,40,1576103844,81,33.93,134.5,57.2,13.87
Bauchi,NG,15,1576103846,15,10.31,9.85,65.59,5.21
Portland,US,1,1576103425,58,43.66,-70.25,28.99,5.82
Dedovichi,RU,46,1576103849,94,57.55,29.95,29.01,7.18
Nizhniy Kuranakh,RU,92,1576103851,99,58.84,125.49,-9.22,0.76
Petropavlovsk-Kamchatskiy,RU,50,1576103853,84,53.05,158.65,6.8,11.18
Antofagasta,CL,75,1576103641,77,-23.65,-70.4,64.4,13.87
Roald,NO,40,1576103856,70,62.58,6.12,44.01,17.22
Berdigestyakh,RU,99,1576103858,97,62.1,126.7,-25.35,3.76
Sunrise Manor,US,1,1576103859,39,36.21,-115.07,57.99,2.37
Pierre,US,1,1576103593,78,44.37,-100.35,18.0,23.04
Airai,TL,32,1576103863,46,-8.93,125.41,79.95,3.83
Solnechnyy,RU,15,1576103864,84,50.72,136.64,-3.19,3.4
Nevel,RU,96,1576103866,83,56.02,29.92,30.92,4.43
Leh,IN,100,1576103867,85,34.16,77.58,7.21,1.81
Zhifang,CN,78,1576103869,56,30.35,114.31,42.8,4.47
Dikson,RU,0,1576103307,90,73.51,80.55,-10.98,12.3
Fuerte Olimpo,BR,63,1576103873,65,-21.04,-57.87,84.33,6.06
Rosario,UY,75,1576103876,58,-34.31,-57.35,86.0,32.08
Kokemaki,FI,75,1576103878,93,61.26,22.36,37.99,5.82
Dubrovka,RU,20,1576103881,79,59.85,30.93,28.99,8.95
Kaitangata,NZ,100,1576103882,83,-46.28,169.85,59.0,11.01
Kibaya,RW,73,1576103884,93,-2.2,30.56,62.01,1.43
Obera,AR,21,1576103885,50,-27.49,-55.12,75.63,1.59
Tuatapere,NZ,98,1576103887,55,-46.13,167.69,68.27,4.05
Vostok,RU,100,1576103889,97,46.45,135.83,-3.1,5.73
Mazamari,PE,98,1576103890,91,-11.33,-74.53,64.35,1.95
Lanzhou,CN,0,1576103892,77,36.06,103.82,6.8,4.47
Gat,SN,88,1576103894,53,14.69,-16.54,80.6,6.93
Elat,CM,29,1576103897,98,2.91,11.16,67.12,1.45
Bereda,ES,40,1576103326,87,43.27,-7.54,54.0,9.17
Ostrovnoy,RU,100,1576103900,86,68.05,39.51,25.74,22.77
Esperance,AU,90,1576103901,76,-33.86,121.89,57.2,5.82
Springbok,ZA,33,1576103903,73,-29.67,17.88,50.02,4.18
Ossora,RU,100,1576103908,72,59.24,163.07,8.92,5.93
Hong Gai,VN,1,1576103909,87,20.96,107.09,57.2,1.12
Fairbanks,US,90,1576103731,92,64.84,-147.72,26.01,5.53
Praya,ID,40,1576103913,94,-8.71,116.27,75.2,2.64
Gamba,CN,74,1576103916,36,28.28,88.52,15.66,1.3
Yenagoa,NG,29,1576103918,89,4.92,6.26,76.3,3.8
Capesterre-Belle-Eau,GP,15,1576103919,88,16.04,-61.57,75.2,5.82
Fremont,US,90,1576103921,67,37.55,-121.99,64.0,4.7
Torbay,CA,90,1576103926,98,47.66,-52.73,35.01,18.34
Sinegorye,RU,100,1576103927,99,62.09,150.53,-12.64,3.47
Saint-Augustin,CA,90,1576103929,92,45.63,-73.98,28.0,3.36
Tiznit,MA,0,1576103635,54,29.7,-9.73,56.86,1.32
